Country,EdLevel,LearnCode,Age,YearsCodePro,Salary
Germany,Master’s degree,School,25-34 years old,6.0,97288.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,7.0,64859.0
Germany,Master’s degree,Online Resources,35-44 years old,15.0,81074.0
Italy,Bachelor’s degree,School,35-44 years old,18.0,45396.0
Sweden,Less than a Bachelors,Others,45-54 years old,25.0,73644.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,1.0,43239.0
Austria,Bachelor’s degree,Online Resources,25-34 years old,7.0,45420.0
Germany,Less than a Bachelors,Others,55-64 years old,35.0,59454.0
India,Bachelor’s degree,Online Resources,18-24 years old,2.0,62828.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,31.0,84019.0
Germany,Master’s degree,School,25-34 years old,9.0,60972.0
Turkey,Bachelor’s degree,School,35-44 years old,25.0,49308.0
Switzerland,Master’s degree,School,25-34 years old,1.0,60989.0
Germany,Master’s degree,School,25-34 years old,4.0,56211.0
Poland,Master’s degree,Online Resources,35-44 years old,12.0,48600.0
Germany,Less than a Bachelors,Others,35-44 years old,6.0,67021.0
Germany,Master’s degree,Others,45-54 years old,17.0,61616.0
Czech Republic,Less than a Bachelors,Online Resources,35-44 years old,20.0,72744.0
Germany,Bachelor’s degree,Online Resources,35-44 years old,16.0,81074.0
"Iran, Islamic Republic of...",Master’s degree,Online Resources,45-54 years old,20.0,57000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,35-44 years old,13.0,59459.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,2.0,46704.0
Germany,Master’s degree,Online Resources,45-54 years old,21.0,88640.0
Italy,Bachelor’s degree,Online Resources,35-44 years old,11.0,45401.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,55-64 years old,43.0,103408.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,5.0,62268.0
France,Master’s degree,Others,35-44 years old,15.0,97288.0
Austria,Bachelor’s degree,Online Resources,25-34 years old,8.0,64859.0
Italy,Less than a Bachelors,School,35-44 years old,16.0,69183.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,45-54 years old,21.0,64630.0
France,Master’s degree,School,25-34 years old,15.0,58373.0
Italy,Less than a Bachelors,Online Resources,35-44 years old,20.0,51887.0
Russian Federation,Master’s degree,School,35-44 years old,25.0,56616.0
Russian Federation,Master’s degree,Others,18-24 years old,3.0,45864.0
Canada,Less than a Bachelors,Online Resources,35-44 years old,7.0,46891.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,7.0,100000.0
Germany,Master’s degree,Online Resources,25-34 years old,4.0,71340.0
Spain,Bachelor’s degree,School,25-34 years old,8.0,45942.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,21.0,64859.0
Germany,Bachelor’s degree,Others,25-34 years old,15.0,51888.0
Sweden,Master’s degree,School,25-34 years old,6.0,83364.0
Poland,Master’s degree,School,25-34 years old,9.0,68040.0
India,Bachelor’s degree,Online Resources,25-34 years old,8.0,41885.0
Netherlands,Professional degree,Online Resources,45-54 years old,20.0,51888.0
Belgium,Bachelor’s degree,Online Resources,25-34 years old,6.0,59454.0
Sweden,Master’s degree,School,35-44 years old,7.0,65052.0
Germany,Master’s degree,Online Resources,25-34 years old,2.0,59454.0
Germany,Master’s degree,Online Resources,25-34 years old,6.0,70264.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,18-24 years old,2.0,90482.0
Italy,Bachelor’s degree,School,35-44 years old,10.0,43239.0
Germany,Master’s degree,Online Resources,25-34 years old,5.0,70044.0
Switzerland,Master’s degree,School,25-34 years old,5.0,95148.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,6.0,45241.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,8.0,100000.0
Italy,PHD,School,35-44 years old,12.0,43239.0
Poland,Master’s degree,Others,35-44 years old,15.0,60744.0
Austria,Less than a Bachelors,Online Resources,25-34 years old,9.0,59454.0
India,Master’s degree,Bootcamp,35-44 years old,12.0,69809.0
Germany,Master’s degree,Others,35-44 years old,4.0,86478.0
Germany,Master’s degree,School,35-44 years old,10.0,71340.0
Belgium,Bachelor’s degree,School,25-34 years old,9.0,86500.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,School,45-54 years old,25.0,93390.0
India,Bachelor’s degree,Online Resources,25-34 years old,7.0,47470.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,45-54 years old,10.0,45241.0
Netherlands,Bachelor’s degree,Others,25-34 years old,8.0,71340.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,5.0,49077.0
Germany,Master’s degree,Online Resources,18-24 years old,3.0,45396.0
Netherlands,Bachelor’s degree,Online Resources,35-44 years old,20.0,51888.0
Italy,Less than a Bachelors,School,45-54 years old,27.0,43239.0
Ukraine,Bachelor’s degree,Others,25-34 years old,4.0,47556.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,9.0,51887.0
Germany,Master’s degree,Online Resources,45-54 years old,24.0,70264.0
Ukraine,Master’s degree,Others,45-54 years old,19.0,58728.0
Spain,Professional degree,Online Resources,35-44 years old,14.0,97288.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Others,45-54 years old,20.0,77556.0
France,Master’s degree,Online Resources,25-34 years old,4.0,45401.0
Sweden,Bachelor’s degree,School,25-34 years old,2.0,62592.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,14.0,93067.0
Germany,PHD,Online Resources,25-34 years old,4.0,58373.0
Norway,Bachelor’s degree,Online Resources,25-34 years old,10.0,86316.0
Spain,Master’s degree,School,25-34 years old,10.0,64859.0
Poland,Master’s degree,Online Resources,35-44 years old,16.0,51636.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,3.0,51704.0
Canada,Bachelor’s degree,School,35-44 years old,20.0,79413.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,3.0,51704.0
Belgium,Master’s degree,School,45-54 years old,25.0,58848.0
Italy,Less than a Bachelors,Online Resources,18-24 years old,4.0,54049.0
Germany,Less than a Bachelors,Others,35-44 years old,20.0,54049.0
Germany,Bachelor’s degree,School,45-54 years old,20.0,81074.0
Germany,Master’s degree,Others,35-44 years old,20.0,86478.0
Poland,Master’s degree,Online Resources,25-34 years old,6.0,48600.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,35-44 years old,20.0,68507.0
Germany,Master’s degree,Others,55-64 years old,27.0,108098.0
Austria,Less than a Bachelors,Online Resources,25-34 years old,9.0,75669.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,6.0,71093.0
France,Master’s degree,School,25-34 years old,5.0,70264.0
France,PHD,Online Resources,25-34 years old,1.0,43860.0
Germany,Master’s degree,Online Resources,25-34 years old,4.0,51887.0
Germany,Bachelor’s degree,Others,25-34 years old,12.0,72426.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,20.0,75669.0
Germany,Master’s degree,Online Resources,25-34 years old,8.0,68102.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,6.0,60535.0
Sweden,Less than a Bachelors,Online Resources,25-34 years old,10.0,42960.0
Germany,Master’s degree,Online Resources,25-34 years old,8.0,52536.0
India,Bachelor’s degree,Online Resources,25-34 years old,7.0,41885.0
Austria,Less than a Bachelors,School,25-34 years old,3.0,47580.0
Austria,Master’s degree,Others,35-44 years old,20.0,71345.0
Spain,Less than a Bachelors,Online Resources,35-44 years old,21.0,97288.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,25-34 years old,7.0,103408.0
Germany,Bachelor’s degree,School,25-34 years old,7.0,81074.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,55-64 years old,31.0,47826.0
Netherlands,Master’s degree,Others,35-44 years old,8.0,64859.0
Russian Federation,Master’s degree,Online Resources,25-34 years old,11.0,52848.0
Germany,Master’s degree,Others,25-34 years old,10.0,75669.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,3.0,72385.0
Germany,Less than a Bachelors,Online Resources,45-54 years old,25.0,108098.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,3.0,61398.0
Canada,Bachelor’s degree,Online Resources,35-44 years old,2.0,68068.0
Spain,Master’s degree,Online Resources,25-34 years old,6.0,48644.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,45-54 years old,18.0,67215.0
India,Master’s degree,Online Resources,25-34 years old,10.0,55847.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,35-44 years old,15.0,77556.0
Sweden,Less than a Bachelors,Online Resources,25-34 years old,0.5,46024.0
France,Less than a Bachelors,Online Resources,25-34 years old,5.0,43239.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,2.0,90000.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,9.0,86478.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,25-34 years old,10.0,51704.0
Italy,Bachelor’s degree,Online Resources,45-54 years old,25.0,108098.0
Spain,Bachelor’s degree,School,35-44 years old,16.0,54049.0
Poland,Master’s degree,Online Resources,35-44 years old,12.0,45564.0
Czech Republic,Less than a Bachelors,Online Resources,25-34 years old,6.0,57156.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,5.0,56460.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,1.0,45401.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,6.0,45396.0
Sweden,Less than a Bachelors,Online Resources,35-44 years old,12.0,55848.0
Italy,Bachelor’s degree,School,25-34 years old,10.0,43239.0
Italy,Master’s degree,School,35-44 years old,15.0,48644.0
Germany,Bachelor’s degree,School,25-34 years old,8.0,54049.0
France,Master’s degree,Others,25-34 years old,6.0,43239.0
Spain,Master’s degree,Online Resources,35-44 years old,16.0,86478.0
Norway,Master’s degree,Online Resources,25-34 years old,3.0,75527.0
United Kingdom of Great Britain and Northern Ireland,PHD,School,25-34 years old,7.0,51704.0
Germany,Less than a Bachelors,Others,25-34 years old,7.0,79452.0
France,Master’s degree,Online Resources,25-34 years old,4.0,50806.0
Russian Federation,Master’s degree,Online Resources,25-34 years old,4.0,42648.0
Belgium,Bachelor’s degree,Online Resources,35-44 years old,15.0,51887.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,15.0,103408.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,25.0,62045.0
United Kingdom of Great Britain and Northern Ireland,PHD,Online Resources,25-34 years old,6.0,49119.0
Germany,Less than a Bachelors,Others,55-64 years old,33.0,88212.0
Sweden,Less than a Bachelors,Online Resources,25-34 years old,8.0,55716.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,3.0,46482.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,19.0,100000.0
Spain,Less than a Bachelors,Online Resources,25-34 years old,8.0,50000.0
Russian Federation,Professional degree,Others,35-44 years old,11.0,75492.0
Australia,Master’s degree,School,25-34 years old,3.0,66810.0
Sweden,Master’s degree,School,45-54 years old,13.0,62964.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Bootcamp,25-34 years old,4.0,71093.0
Ukraine,Bachelor’s degree,Others,25-34 years old,8.0,45600.0
Germany,Master’s degree,Others,35-44 years old,10.0,77832.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,3.0,87559.0
Netherlands,Bachelor’s degree,Online Resources,35-44 years old,4.0,64860.0
Norway,Bachelor’s degree,Online Resources,55-64 years old,35.0,88474.0
Netherlands,Less than a Bachelors,Online Resources,35-44 years old,10.0,62697.0
Sweden,Master’s degree,Online Resources,25-34 years old,7.0,71184.0
Austria,Master’s degree,Online Resources,35-44 years old,20.0,108098.0
Germany,Bachelor’s degree,Others,25-34 years old,1.0,55776.0
Australia,Less than a Bachelors,Online Resources,25-34 years old,9.0,68814.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,5.0,54049.0
Canada,Bachelor’s degree,Online Resources,35-44 years old,15.0,75631.0
France,Master’s degree,School,35-44 years old,17.0,47563.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,3.0,49185.0
Italy,Bachelor’s degree,School,25-34 years old,10.0,54049.0
Czech Republic,Master’s degree,School,35-44 years old,14.0,103932.0
Ukraine,Master’s degree,Online Resources,25-34 years old,4.0,60684.0
Norway,Master’s degree,Others,25-34 years old,8.0,66895.0
France,Master’s degree,Online Resources,25-34 years old,8.0,42804.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,3.0,42804.0
Italy,Less than a Bachelors,Online Resources,35-44 years old,16.0,51887.0
Italy,Master’s degree,Online Resources,35-44 years old,17.0,70264.0
Germany,PHD,Online Resources,25-34 years old,4.0,70264.0
Russian Federation,Master’s degree,Others,25-34 years old,4.0,52848.0
Belgium,Bachelor’s degree,School,25-34 years old,5.0,45396.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,7.0,51888.0
Russian Federation,Professional degree,Bootcamp,45-54 years old,5.0,56616.0
Switzerland,Bachelor’s degree,Online Resources,25-34 years old,8.0,91484.0
Poland,Master’s degree,Online Resources,25-34 years old,5.0,63281.0
Spain,Bachelor’s degree,School,35-44 years old,14.0,52968.0
Italy,Less than a Bachelors,Online Resources,45-54 years old,23.0,45401.0
Spain,Master’s degree,School,45-54 years old,18.0,87559.0
Russian Federation,Less than a Bachelors,Online Resources,35-44 years old,8.0,96000.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,6.0,51636.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,13.0,58368.0
Germany,Master’s degree,Online Resources,25-34 years old,7.0,54480.0
Russian Federation,Less than a Bachelors,Online Resources,18-24 years old,6.0,54732.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,35-44 years old,11.0,81433.0
Netherlands,Bachelor’s degree,School,35-44 years old,12.0,82155.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,25-34 years old,14.0,93072.0
Netherlands,Less than a Bachelors,Online Resources,35-44 years old,20.0,79128.0
India,Bachelor’s degree,Online Resources,25-34 years old,9.0,78186.0
Germany,Bachelor’s degree,Others,18-24 years old,2.0,50806.0
Switzerland,Master’s degree,School,25-34 years old,5.0,92704.0
Ukraine,Master’s degree,Online Resources,25-34 years old,3.0,48936.0
Germany,Bachelor’s degree,Others,25-34 years old,2.0,56211.0
France,Master’s degree,Online Resources,35-44 years old,21.0,59454.0
Poland,Master’s degree,School,25-34 years old,9.0,88594.0
India,Bachelor’s degree,Online Resources,18-24 years old,7.0,44678.0
Ukraine,Bachelor’s degree,Online Resources,18-24 years old,4.0,48936.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,8.0,43452.0
Germany,Master’s degree,Online Resources,25-34 years old,7.0,59454.0
France,Master’s degree,Online Resources,25-34 years old,4.0,48860.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,17.0,90482.0
Italy,Master’s degree,Online Resources,35-44 years old,10.0,45401.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,35-44 years old,14.0,96945.0
Poland,Master’s degree,Others,35-44 years old,13.0,51636.0
Austria,Master’s degree,Online Resources,35-44 years old,15.0,42804.0
Germany,Less than a Bachelors,School,35-44 years old,13.0,71345.0
Switzerland,Master’s degree,Online Resources,25-34 years old,4.0,79284.0
Germany,Master’s degree,Online Resources,25-34 years old,4.0,70260.0
India,Bachelor’s degree,Others,45-54 years old,17.0,58639.0
Germany,Master’s degree,Others,25-34 years old,4.0,86478.0
France,Master’s degree,School,25-34 years old,12.0,75669.0
Netherlands,Master’s degree,School,25-34 years old,4.0,45288.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,4.0,49704.0
India,Bachelor’s degree,Others,35-44 years old,15.0,55847.0
Sweden,Less than a Bachelors,Online Resources,35-44 years old,12.0,73644.0
United Kingdom of Great Britain and Northern Ireland,PHD,Others,35-44 years old,10.0,77556.0
France,Professional degree,Others,35-44 years old,15.0,48644.0
Italy,Bachelor’s degree,Online Resources,35-44 years old,8.0,49725.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,45-54 years old,28.0,77556.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,65 years or older,43.0,45241.0
Germany,PHD,School,35-44 years old,15.0,51888.0
France,Master’s degree,School,25-34 years old,10.0,54049.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,22.0,58167.0
Austria,Less than a Bachelors,Online Resources,18-24 years old,5.0,48644.0
Switzerland,Bachelor’s degree,Bootcamp,25-34 years old,0.5,69528.0
Austria,Master’s degree,Others,35-44 years old,20.0,72642.0
Germany,Less than a Bachelors,Others,35-44 years old,15.0,86478.0
Israel,Master’s degree,School,45-54 years old,28.0,99869.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,1.0,44748.0
Belgium,Bachelor’s degree,School,45-54 years old,26.0,103776.0
Russian Federation,Less than a Bachelors,Online Resources,25-34 years old,7.0,45480.0
Spain,Bachelor’s degree,Online Resources,55-64 years old,35.0,64860.0
Israel,Less than a Bachelors,Online Resources,35-44 years old,20.0,65556.0
Belgium,Master’s degree,School,35-44 years old,20.0,77832.0
France,PHD,Others,45-54 years old,26.0,70264.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,7.0,72385.0
Russian Federation,Master’s degree,Online Resources,25-34 years old,8.0,62910.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,7.0,50625.0
Germany,Master’s degree,Others,25-34 years old,6.0,49293.0
Spain,Bachelor’s degree,Others,35-44 years old,12.0,64859.0
Austria,Bachelor’s degree,School,35-44 years old,10.0,85608.0
Ukraine,Master’s degree,School,35-44 years old,16.0,58200.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,4.0,48648.0
Russian Federation,Master’s degree,Others,25-34 years old,15.0,75492.0
Germany,Bachelor’s degree,Others,25-34 years old,6.0,57072.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,4.0,60535.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,35-44 years old,7.0,43431.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,School,35-44 years old,15.0,74970.0
Netherlands,Master’s degree,Online Resources,25-34 years old,3.0,50196.0
Germany,Master’s degree,Online Resources,25-34 years old,5.0,51887.0
Germany,Bachelor’s degree,Others,25-34 years old,10.0,86478.0
"Iran, Islamic Republic of...",Master’s degree,Online Resources,25-34 years old,5.0,45600.0
Canada,Master’s degree,Online Resources,25-34 years old,10.0,98321.0
Norway,Less than a Bachelors,Online Resources,25-34 years old,8.0,107895.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,18-24 years old,2.0,73678.0
Austria,Master’s degree,School,25-34 years old,4.0,60535.0
Norway,Master’s degree,School,25-34 years old,5.0,83619.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,3.0,59454.0
Sweden,Master’s degree,School,45-54 years old,21.0,61728.0
Ukraine,Less than a Bachelors,Others,25-34 years old,5.0,54000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,8.0,93713.0
Sweden,Master’s degree,Online Resources,25-34 years old,4.0,50844.0
Germany,Bachelor’s degree,School,35-44 years old,7.0,78912.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,35-44 years old,20.0,77556.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,4.0,52014.0
Canada,Less than a Bachelors,Online Resources,45-54 years old,19.0,84575.0
Spain,Bachelor’s degree,Online Resources,35-44 years old,5.0,48644.0
India,Bachelor’s degree,Online Resources,25-34 years old,2.0,66348.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,55-64 years old,35.0,90482.0
Belgium,PHD,Online Resources,35-44 years old,10.0,88640.0
Sweden,Master’s degree,Online Resources,25-34 years old,0.5,53760.0
Germany,Bachelor’s degree,Bootcamp,25-34 years old,5.0,46482.0
Australia,Bachelor’s degree,Online Resources,18-24 years old,5.0,63469.0
Brazil,Master’s degree,Online Resources,25-34 years old,10.0,54972.0
Spain,Master’s degree,Online Resources,35-44 years old,2.0,43239.0
Germany,Master’s degree,Online Resources,25-34 years old,4.0,73507.0
Sweden,Less than a Bachelors,Online Resources,35-44 years old,12.0,61368.0
Spain,Master’s degree,Online Resources,55-64 years old,30.0,60535.0
France,Less than a Bachelors,Bootcamp,35-44 years old,10.0,43239.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,5.0,64630.0
Czech Republic,Master’s degree,Online Resources,25-34 years old,10.0,46764.0
United States of America,Less than a Bachelors,School,45-54 years old,12.0,65000.0
Turkey,Less than a Bachelors,Online Resources,25-34 years old,11.0,49000.0
Poland,Bachelor’s degree,School,35-44 years old,7.0,86268.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,6.0,84019.0
France,Master’s degree,Online Resources,45-54 years old,21.0,81074.0
"Iran, Islamic Republic of...",Master’s degree,Online Resources,25-34 years old,10.0,42756.0
Poland,Master’s degree,Online Resources,35-44 years old,12.0,55584.0
Germany,Bachelor’s degree,School,18-24 years old,2.0,48644.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,10.0,98883.0
India,Bachelor’s degree,School,35-44 years old,15.0,58644.0
Netherlands,Less than a Bachelors,Online Resources,25-34 years old,7.0,61620.0
Norway,Bachelor’s degree,Others,35-44 years old,20.0,86316.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,10.0,51888.0
Austria,Less than a Bachelors,Online Resources,35-44 years old,20.0,102693.0
Sweden,Master’s degree,Online Resources,25-34 years old,3.0,50196.0
Belgium,Bachelor’s degree,Online Resources,25-34 years old,5.0,48644.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,90000.0
Germany,PHD,Online Resources,35-44 years old,7.0,108098.0
United States of America,Less than a Bachelors,School,55-64 years old,36.0,70000.0
Canada,Bachelor’s degree,Online Resources,35-44 years old,16.0,79413.0
Sweden,Less than a Bachelors,Others,25-34 years old,7.0,57864.0
Germany,Master’s degree,School,25-34 years old,8.0,45396.0
Mexico,Bachelor’s degree,School,25-34 years old,12.0,77568.0
Germany,Less than a Bachelors,School,25-34 years old,7.0,57832.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Bootcamp,25-34 years old,0.5,45241.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,18-24 years old,2.0,58167.0
Ukraine,Master’s degree,Online Resources,25-34 years old,12.0,60000.0
Poland,Master’s degree,Online Resources,25-34 years old,5.0,48600.0
Germany,Master’s degree,Others,35-44 years old,15.0,81074.0
Germany,Less than a Bachelors,Others,25-34 years old,5.0,54612.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,6.0,69180.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,4.0,58368.0
France,Master’s degree,School,25-34 years old,8.0,59454.0
Israel,Master’s degree,School,25-34 years old,5.0,71345.0
Belgium,Less than a Bachelors,Online Resources,35-44 years old,7.0,103776.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,0.5,55000.0
Italy,PHD,Others,45-54 years old,30.0,81074.0
France,Master’s degree,School,35-44 years old,16.0,81074.0
Russian Federation,Bachelor’s degree,Online Resources,25-34 years old,7.0,48132.0
Switzerland,Less than a Bachelors,School,18-24 years old,4.0,76237.0
Austria,Bachelor’s degree,Online Resources,25-34 years old,10.0,52968.0
Belgium,Bachelor’s degree,Online Resources,25-34 years old,6.0,43776.0
Canada,Less than a Bachelors,Online Resources,18-24 years old,2.0,41597.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,25-34 years old,3.0,59459.0
Czech Republic,Master’s degree,Online Resources,25-34 years old,3.0,55080.0
Austria,Bachelor’s degree,Online Resources,25-34 years old,8.0,57984.0
Sweden,Less than a Bachelors,Online Resources,45-54 years old,20.0,63816.0
India,Bachelor’s degree,School,25-34 years old,9.0,67016.0
Germany,Bachelor’s degree,Others,25-34 years old,4.0,58368.0
Germany,Master’s degree,Others,25-34 years old,3.0,64859.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,0.5,58000.0
Poland,Less than a Bachelors,Others,35-44 years old,10.0,54672.0
Germany,Bachelor’s degree,School,25-34 years old,0.5,43980.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,14.0,64630.0
Poland,Less than a Bachelors,Online Resources,25-34 years old,8.0,54672.0
Australia,Bachelor’s degree,Others,55-64 years old,36.0,98210.0
Australia,Bachelor’s degree,Others,35-44 years old,19.0,86853.0
Austria,Less than a Bachelors,Online Resources,25-34 years old,3.0,52428.0
Germany,Master’s degree,School,25-34 years old,5.0,43239.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,3.0,54049.0
Czech Republic,Less than a Bachelors,Online Resources,25-34 years old,9.0,49368.0
Netherlands,PHD,Online Resources,35-44 years old,15.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,7.0,55582.0
Spain,Master’s degree,School,25-34 years old,10.0,44861.0
Australia,Bachelor’s degree,School,35-44 years old,18.0,87521.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,2.0,76263.0
Germany,Less than a Bachelors,Others,25-34 years old,6.0,59304.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,7.0,80141.0
France,Master’s degree,Online Resources,25-34 years old,7.0,59454.0
France,Master’s degree,School,45-54 years old,23.0,70264.0
Netherlands,Master’s degree,School,25-34 years old,7.0,53184.0
Turkey,Bachelor’s degree,Others,25-34 years old,8.0,49308.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,55-64 years old,25.0,96945.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,10.0,64630.0
Norway,Master’s degree,Online Resources,25-34 years old,3.0,64737.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,35-44 years old,16.0,90482.0
Germany,Master’s degree,Online Resources,25-34 years old,8.0,72426.0
Russian Federation,Bachelor’s degree,Online Resources,35-44 years old,18.0,47184.0
United States of America,Master’s degree,Online Resources,45-54 years old,28.0,76000.0
Canada,Master’s degree,School,25-34 years old,4.0,75631.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,25-34 years old,3.0,51704.0
India,Bachelor’s degree,Online Resources,35-44 years old,13.0,76789.0
Netherlands,Master’s degree,Online Resources,35-44 years old,12.0,90802.0
United States of America,Master’s degree,School,25-34 years old,6.0,75000.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,8.0,51888.0
United States of America,Less than a Bachelors,School,45-54 years old,24.0,85000.0
Spain,Professional degree,Online Resources,35-44 years old,9.0,57292.0
Germany,Master’s degree,Online Resources,25-34 years old,6.0,75669.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,1.0,45241.0
Sweden,Master’s degree,Online Resources,18-24 years old,5.0,48070.0
France,Master’s degree,School,25-34 years old,6.0,70320.0
Australia,Master’s degree,Online Resources,35-44 years old,15.0,106895.0
Canada,Master’s degree,Online Resources,25-34 years old,4.0,90758.0
Germany,Professional degree,School,35-44 years old,10.0,64859.0
Germany,Master’s degree,School,25-34 years old,8.0,73831.0
Israel,Bachelor’s degree,Online Resources,25-34 years old,9.0,84048.0
